language,name,iso_639_3,genus,family,fusion,source,level,tense,remoteness,obligatoriness,gcode,extra_count,complexity
Abui [abz],Abui,abz,Greater Alor,Timor-Alor-Pantar,Isolating/Concatenative,"(Kratochvíl 2007: 209ff,350)",0,NA,NA,NA,abui1241,0,0
Achumawi [acv],Achumawi,acv,Palaihnihan,Hokan,Concatenative,"(Angulo & Freeland, 1930: 89ff, 111)",0,NA,NA,NA,achu1247,0,0
Ainu [ain],Ainu,ain,Ainu,Ainu,Concatenative,(Shibatani 1990: 80),0,NA,NA,NA,ainu1240,0,0
Apinajé (Apinayé) [apn],Apinajé (Apinayé),apn,Ge-Kaingang,Macro-Ge,Isolating,(Cunha de Oliveira 2005: 170f),0,NA,NA,NA,apin1244,0,0
Arandai [jbj],Arandai,jbj,South Bird’s Head,Marind,Isolating/Concatenative,(Voorhoeve 1985: 11),0,NA,NA,NA,aran1237,0,0
Arapesh (Bukiyip) [ape],Arapesh (Bukiyip),ape,Kombio-Arapesh,Torricelli,Concatenative*,(Fortune 1942: 67),0,NA,NA,NA,buki1249,0,0
Arikara [ari],Arikara,ari,Caddoan,Caddoan,Concatenative,(Merlan 1975: 14),0,NA,NA,NA,arik1262,0,0
Awetí [awe],Awetí,awe,Aweti,Tupian,Concatenative,(Borella 2000: passim),0,NA,NA,NA,awet1244,0,0
Bagirmi [bmi],Bagirmi,bmi,Bongo-Bagirmi,Central Sudanic,Concatenative*,(Stevenson 1969: 83),0,NA,NA,NA,bagi1246,0,0
"Bai, Central [bca]","Bai, Central",bca,Bai,Sino-Tibetan,Isolating,(Wiersma 1990: 175ff),0,NA,NA,NA,cent2004,0,0
"Bajau, West Coast [bdr]","Bajau, West Coast",bdr,Sama-Bajaw,Austronesian,Isolating,(Miller 2007: 329ff),0,NA,NA,NA,west2560,0,0
Batak Toba [bbc],Batak Toba,bbc,Northwest Sumatra-Barrier Islands,Austronesian,Concatenative,(Nababan 1966: 29),0,NA,NA,NA,bata1289,0,0
Begak (Ida’an) [dbj],Begak (Ida’an),dbj,North Borneo,Austronesian,Isolating/Concatenative,"(Goudswaard 2005: 151ff, passim)",0,NA,NA,NA,idaa1241,0,0
Berta [wti],Berta,wti,Berta,Berta,Concatenative,(Cerulli 1947: 350),0,NA,NA,NA,bert1248,0,0
Biak [bhw],Biak,bhw,South Halmahera-West New,Austronesian,Isolating,"(van den Heuvel 2006: 120, passim)",0,NA,NA,NA,biak1248,0,0
Burmese [mya],Burmese,mya,Burmese-Lolo,Sino-Tibetan,Concatenative*,(Comrie 1985: 50f),0,NA,NA,NA,nucl1310,0,0
"Cambodian (Khmer, Central) [khm]","Cambodian (Khmer, Central)",khm,Khmer,Austro-Asiatic,Isolating,(Huffman 1970: passim),0,NA,NA,NA,cent1989,0,0
Chitimacha [ctm],Chitimacha,ctm,Chitimacha,Chitimacha,Concatenative,"(Swadesh 1946: 317, 322ff)",0,NA,NA,NA,chit1248,0,0
Comanche [com],Comanche,com,Numic,Uto-Aztecan,Concatenative,(Charney 1989: passim),0,NA,NA,NA,coma1245,0,0
Coos [csz],Coos,csz,Coosan,Oregon Coast,Concatenative*,"(Frachtenberg 1922a: 328ff, 343ff)",0,NA,NA,NA,coos1249,0,0
"Diegueño, Jamul (Kumiai) [dih]","Diegueño, Jamul (Kumiai)",dih,Yuman,Hokan,Concatenative,"(Miller 1990: 119ff, passim)",0,NA,NA,NA,kumi1248,0,0
"Dogon, Jamsay [djm]","Dogon, Jamsay",djm,Dogon,Dogon,Concatenative,(Heath 2005a: passim),0,NA,NA,NA,jams1239,0,0
Fuyug [fuy],Fuyug,fuy,Goilalan,Trans-New Guinea,Concatenative,(Bradshaw 2007: 66ff),0,NA,NA,NA,fuyu1242,0,0
Gade [ged],Gade,ged,Nupoid,Niger-Congo,Non-linear,(Sterk 1977: 164ff),0,NA,NA,NA,gade1242,0,0
Golin [gvf],Golin,gvf,Chimbu,Trans-New Guinea,Concatenative,"(Evans et al. 2005: 38f, 45ff, passim)",0,NA,NA,NA,goli1247,0,0
Guató [gta],Guató,gta,Guató,Macro-Ge,Concatenative,(Pimentel Palácio 1984: 60ff),0,NA,NA,NA,guat1253,0,0
Gude [gde],Gude,gde,Biu-Mandara,Afro-Asiatic,Isolating,(Hoskison 1983: 82),0,NA,NA,NA,gude1246,0,0
Hausa [hau],Hausa,hau,West Chadic,Afro-Asiatic,Isolating*,(Newman 2000: 564ff),0,NA,NA,NA,haus1257,0,0
I’saka (Isaka) [ksi],I’saka (Isaka),ksi,Krisa,Skou,Isolating,(Donohue & San Roque 2002: passim),0,NA,NA,NA,kris1246,0,0
Ika (Arhuaco ) [arh],Ika (Arhuaco ),arh,Aruak,Chibchan,Concatenative,(Frank 1985: 76ff),0,NA,NA,NA,arhu1242,0,0
Jinghpo (Jingpho) [kac],Jinghpo (Jingpho),kac,Jinghpo,Sino-Tibetan,Isolating,(Qingxia & Diehl 2003: 406ff),0,NA,NA,NA,kach1280,0,0
Ju|’hoan [ktz],Ju|’hoan,ktz,Ju-Kung,Kxa,Isolating,(Dickens n.y.: 5),0,NA,NA,NA,juho1239,0,0
Kamasau [kms],Kamasau,kms,Marienberg,Torricelli,Isolating,"(Watters 1998: 191ff, 547)",0,NA,NA,NA,kama1367,0,0
Kambera [xbr],Kambera,xbr,Central Malayo-Polynesian,Austronesian,Concatenative,(Klamer 1998: 317),0,NA,NA,NA,kamb1299,0,0
"Kham (Kham, Western Parbate) [kjl]","Kham (Kham, Western Parbate)",kjl,Mahakiranti,Sino-Tibetan,Concatenative,"(Watters 1998: 191ff, 547)",0,NA,NA,NA,west2420,0,0
Khmu’ (Khmu) [kjg],Khmu’ (Khmu),kjg,Palaung-Khmuic,Austro-Asiatic,Isolating,(Svantesson 1994: 266ff),0,NA,NA,NA,khmu1256,0,0
Klamath (Klamath-Modoc) [kla],Klamath (Klamath-Modoc),kla,Klamath-Modoc,Penutian,Concatenative,(Underriner 2002: 13ff),0,NA,NA,NA,klam1254,0,0
"Krumen, Tepo [ted]","Krumen, Tepo",ted,Kru,Niger-Congo,Non-linear,(Thalmann 1987: 390ff),0,NA,NA,NA,tepo1239,0,0
Kwomtari [kwo],Kwomtari,kwo,Kwomtari,Kwomtari-Baibai,Concatenative,"(Honsberger et al. 2008: 14, 117f)",0,NA,NA,NA,nucl1593,0,0
Lakhota (Lakota) [lkt],Lakhota (Lakota),lkt,Siouan,Siouan,Isolating/Concatenative*,(van Valin 1977: 4ff),0,NA,NA,NA,lako1247,0,0
Lango [laj],Lango,laj,Nilotic,Eastern Sudanic,Non-linear*,(Noonan 1992: 136ff),0,NA,NA,NA,lang1324,0,0
"Mandarin (Chinese, Mandarin) [cmn]","Mandarin (Chinese, Mandarin)",cmn,Chinese,Sino-Tibetan,Isolating/Concatenative*,(Li & Thompson 1981),0,NA,NA,NA,mand1415,0,0
Mapudungun [arn],Mapudungun,arn,Araucanian,Araucanian,Concatenative*,"(Smeets 1989: 203ff, 306)",0,NA,NA,NA,mapu1245,0,0
Maxakalí [mbl],Maxakalí,mbl,Maxakali,Macro-Ge,Isolating,(Pereira 1992: 70ff),0,NA,NA,NA,maxa1247,0,0
Maybrat (Mai Brat) [ayz],Maybrat (Mai Brat),ayz,North-Central Bird’s Head,West Papuan,Concatenative*,(Dol 1999: passim),0,NA,NA,NA,maib1239,0,0
Meithei (Meitei) [mni],Meithei (Meitei),mni,Kuki-Chin,Sino-Tibetan,Concatenative*,(Chelliah 1997),0,NA,NA,NA,mani1292,0,0
"Mixtec, Chalcatongo (Mixtec, San Miguel el Grande) [mig]","Mixtec, Chalcatongo (Mixtec, San Miguel el Grande)",mig,Mixtecan,Oto-Manguean,Concatenative,"(Macaulay 1996: 45ff, 79ff)",0,NA,NA,NA,sanm1295,0,0
Mocoví [moc],Mocoví,moc,South Guaicuruan,Guaicuruan,Concatenative,(Grondona 1998: 129),0,NA,NA,NA,moco1246,0,0
Mon [mnw],Mon,mnw,Monic,Austro-Asiatic,Isolating,(Albaugh 2001),0,NA,NA,NA,monn1252,0,0
Moskona [mtj],Moskona,mtj,East Bird’s Head,East Bird’s Head,Isolating/Concatenative,(Gravelle 2010: passim),0,NA,NA,NA,mosk1236,0,0
Movima [mzp],Movima,mzp,Movima,Movima,Concatenative,"(Haude 2006: 13, 147ff, 158ff, 167ff, 510ff)",0,NA,NA,NA,movi1243,0,0
Mualang [mtd],Mualang,mtd,Malayo-Sumbawan,Austronesian,Isolating,(Tjia 2007: 193),0,NA,NA,NA,mual1241,0,0
Mundurukú [myu],Mundurukú,myu,Munduruku,Tupian,Isolating,"(Crofts 2004: 58, 294)",0,NA,NA,NA,mund1330,0,0
Murle [mur],Murle,mur,Surmic,Nilo-Saharan,Concatenative,(Arensen 1982: 59ff),0,NA,NA,NA,murl1244,0,0
"Nicobarese, Car [caq]","Nicobarese, Car",caq,Nicobarese,Austro-Asiatic,Concatenative,(Braine 1970: passim),0,NA,NA,NA,carn1240,0,0
Olo [ong],Olo,ong,Wapei-Palei,Torricelli,Isolating,(Staley 2007: 29),0,NA,NA,NA,oloo1241,0,0
Pacoh [pac],Pacoh,pac,Katuic,Austro-Asiatic,Isolating,"(Alves 2000: 305ff, passim)",0,NA,NA,NA,paco1243,0,0
"Pame, Northern [pmq]","Pame, Northern",pmq,Pamean,Oto-Manguean,Concatenative,(Berthiaume 2003: 197ff),0,NA,NA,NA,nort2984,0,0
Pirahã [myp],Pirahã,myp,Mura,Mura,Concatenative*,(Everett 2005: 631),0,NA,NA,NA,pira1253,0,0
"Qiang (Qiang, Northern) [cng]","Qiang (Qiang, Northern)",cng,Qiangic,Sino-Tibetan,Concatenative,(LaPolla & Huang,0,NA,NA,NA,nort2722,0,0
Rao [rao],Rao,rao,Annaberg,Lower Sepik-Ramu,Isolating,(Stanhope 1980: 10),0,NA,NA,NA,raoo1244,0,0
Salinan [sln],Salinan,sln,Salinan,Salinan,Isolating,(Turner 1987: 155ff),0,NA,NA,NA,sali1253,0,0
Sandawe [sad],Sandawe,sad,Sandawe,Khoisan,Concatenative,(Eaton 2010: 132ff),0,NA,NA,NA,sand1273,0,0
Seediq (Taroko) [trv],Seediq (Taroko),trv,Atayalic,Austronesian,Isolating/Concatenative,(Tsukida 2000: 30),0,NA,NA,NA,taro1264,0,0
Semelai [sza],Semelai,sza,Aslian,Austro-Asiatic,Concatenative,(Kruspe 2004: passim),0,NA,NA,NA,seme1247,0,0
Shiriana (Ninam) [shb],Shiriana (Ninam),shb,Yanomam,Yanomam,Concatenative,(Gomez 1990: 93),0,NA,NA,NA,nina1238,0,0
Skou [skv],Skou,skv,Western Skou,Skou,Concatenative/Non-linear,(Donohue 2004: 262ff),0,NA,NA,NA,nucl1634,0,0
Taulil [tuh],Taulil,tuh,Taulil,Baining-Taulil,Isolating,(Laufer 1959: 207),0,NA,NA,NA,taul1251,0,0
Ternate [tft],Ternate,tft,North Halmaheran,West Papuan,Isolating,(Hayami-Allen 2001: 58),0,NA,NA,NA,tern1247,0,0
Thao [ssf],Thao,ssf,Western Plains Austronesian,Austronesian,Concatenative,(Wang 2004: 210),0,NA,NA,NA,thao1240,0,0
Timucua [tjm],Timucua,tjm,Timucua,Timucua,Concatenative,(Granberry 1993: 88ff),0,NA,NA,NA,timu1245,0,0
Tlingit [tli],Tlingit,tli,Tlingit,Na-Dene,Concatenative*,(Crippen 2008: 2),0,NA,NA,NA,tlin1245,0,0
Trumai [tpy],Trumai,tpy,Trumai,Trumai,Isolating/Concatenative*,(Guirardello 1999: 98),0,NA,NA,NA,trum1247,0,0
"Tzutujil (Tzutujil, Eastern) [tzj]","Tzutujil (Tzutujil, Eastern)",tzj,Mayan,Mayan,Concatenative,(Dayley 1981: 105ff),0,NA,NA,NA,tzut1248,0,0
Urarina [ura],Urarina,ura,Urarina,Urarina,Concatenative,(Cunha de Oliveira 2005: 170f),0,NA,NA,NA,urar1246,0,0
Urim [uri],Urim,uri,Urim,Torricelli,Isolating,"(Hemmilä & Luoma 1987: 21ff, 69)",0,NA,NA,NA,urim1252,0,0
Yurok [yur],Yurok,yur,Yurok,Algic,Concatenative*,(Robins 1958: 32),0,NA,NA,NA,yuro1248,0,0
"Asmat (Citak, Tamnim) [tml]","Asmat (Citak, Tamnim)",tml,Asmat-Kamoro,Trans-New Guinea,Concatenative*,(Voorhoeve 1965: 71ff),1,Past,2,optional,tamn1235,1,2
Bao’an Tu (Bonan) [peh],Bao’an Tu (Bonan),peh,Mongolic,Altaic,Concatenative,(Fried 2010),1,Future,–,optional,bona1250,0,1
Borôro [bor],Borôro,bor,Bororo,Macro-Ge,Isolating/Concatenative,(Crowell 1979: 87ff),1,Nonfuture,–,optional,boro1282,0,1
"Chontal, Highland Oaxaca [chd]","Chontal, Highland Oaxaca",chd,Tequistlatecan,Tequistlatecan,Concatenative*,"(Turner 1966: 49, 60f)",1,Future,–,optional,high1242,0,1
Esselen [esq],Esselen,esq,Esselen,Esselen,Concatenative,"(Shaul 1995: 217, passim)",1,Future,–,optional,esse1238,0,1
"Greenlandic, West (Inuktitut,Greenlandic) [kal]","Greenlandic, West (Inuktitut,Greenlandic)",kal,Eskimo,Eskimo-Aleut,Concatenative*,(Fortescue 1984: 272ff),1,Future,–,optional,kala1399,0,1
"Huave, San Francisco del Mar [hue]","Huave, San Francisco del Mar",hue,Huavean,Huavean,Concatenative,(Kim 2008: 273ff),1,Future,–,optional,sanf1258,0,1
Jalonke (Yalunka) [yal],Jalonke (Yalunka),yal,Western Mande,Mande,Isolating,(Lüpke 2005: 118ff),1,Past,–,optional,yalu1240,0,1
Javanese [jav],Javanese,jav,Javanese,Austronesian,Isolating,"(Dahl 1985: 161, Oglobin 2005: 607)",1,Future,–,optional,java1254,0,1
Kanamarí [knm],Kanamarí,knm,Katukinan,Katukinan,Isolating/Concatenative,"(Gonçalves da Silva 2011: 183ff, Groth 1985)",1,Future,3,optional,kana1291,2,3
"Koyra Chiini (Songhay, Koyra Chiini) [khq]","Koyra Chiini (Songhay, Koyra Chiini)",khq,Songhay,Songhay,Isolating*,"(Heath 1999: 156, 162)",1,Future,–,optional,koyr1240,0,1
Krongo [kgo],Krongo,kgo,Kadugli,Kadu,Concatenative*,(Tucker & Bryan 1966: 309),1,Future,–,optional,kron1241,0,1
Kunama [kun],Kunama,kun,Kunama,Kunama,Concatenative*,(Böhm 1984: 39ff),1,Future,–,optional,kuna1268,0,1
Kuteb (Kutep) [kub],Kuteb (Kutep),kub,Platoid,Niger-Congo,Isolating,(Koops 2007: 222ff),1,Future,–,optional,kute1248,0,1
"Mixe, Ayutla","Mixe, Ayutla",mxp,Mixe-Zoque,Mixe-Zoque,Isolating/Concatenative,"(Romero-Méndez 2008: 237, 303ff)",1,Past,–,optional,tlah1239,0,1
Mosetén (Tsimané) [cas],Mosetén (Tsimané),cas,Mosetenan,Mosetenan,Isolating/Concatenative,"(Sakel 2004: 258, 363ff)",1,Past,–,optional,mose1249,0,1
Navajo [nav],Navajo,nav,Athapaskan,Na-Dene,Concatenative*,"(Hoijer 1967: 93, Smith & Perkins 2003)",1,Future,–,optional,nava1243,0,1
Nii [nii],Nii,nii,Wahgi,Trans-New Guinea,Concatenative,"(Stucky & Stucky: 13f, 80, 86)",1,Future,2,optional,niii1240,1,2
Nisgha (Nisga’a) [ncg],Nisgha (Nisga’a),ncg,Tsimshianic,Penutian,Concatenative,(Tarpent 1989: passim),1,Future,–,optional,nisg1240,0,1
Oneida [one],Oneida,one,Northern Iroquoian,Iroquoian,Concatenative*,(Dahl 1985: 173),1,Future,–,optional,onei1249,0,1
Spokane [spo],Spokane,spo,Interior Salish,Salishan,Isolating/Concatenative,(Carlson 1972: 48ff),1,Future,–,optional,spok1245,0,1
Takelma [tkm],Takelma,tkm,Takelma,Takelma,Non-linear,(Sapir 1922b: 94ff),1,Future,–,optional,take1257,0,1
Taushiro [trr],Taushiro,trr,Taushiro,Taushiro,Concatenative,"(Turner 1966: 49, 60f)",1,Future,–,optional,taus1253,0,1
Thai [tha],Thai,tha,Kam-Tai,Tai-Kadai,Isolating/Concatenative*,"(Dahl 1985: 174, Hudak. 1990)",1,Future,–,optional,thai1261,0,1
"Towa, Jemez (Jemez) [tow]","Towa, Jemez (Jemez)",tow,Kiowa Tanoan,Kiowa Tanoan,Concatenative,"(Yumitani 1998: 146, 193f, 230)",1,Future,–,optional,jeme1245,0,1
"Zapotec, Isthmus [zai]","Zapotec, Isthmus",zai,Zapotecan,Oto-Manguean,Concatenative,(Pickett & Black 2001: 51ff),1,Future,–,optional,isth1244,0,1
Anindilyakwa [aoi],Anindilyakwa,aoi,Anindilyakwa,Australian,Concatenative,(Leeding 1989: 437ff),2,Past / Nonpast,–,optional,anin1240,0,2
Apurinã [apu],Apurinã,apu,Purus,Arawakan,Concatenative*,(Facundes,2,Future /,–,obligatory,apur1254,0,2
"Aymara (Aymaran, Central) [ayr]","Aymara (Aymaran, Central)",ayr,Aymaran,Aymaran,Concatenative*,"(Hardman et al. 2001: 87, 138ff)",2,Future / Nonfuture,–,obligatory,cent2142,0,2
Barasano (Barasana-Eduria) [bsn],Barasano (Barasana-Eduria),bsn,Tucanoan,Tucanoan,Concatenative*,(Jones & Jones 1991: 37),2,Past / Nonpast,n,optional,bara1380,0,2
Betoi [-],Betoi,-,Betoi,Betoi,Concatenative,(Zamponi 2002: 221ff),2,Past / Future,–,optional,beto1236,0,2
Blackfoot [bla],Blackfoot,bla,Algonquian,Algic,Concatenative,(Frantz 1997: 31–6),2,Past / Future,–,optional,siks1238,0,2
Bora [boa],Bora,boa,Boran,Huitotan,Concatenative/Non-linear,(Thiesen 1996: 64),2,Future / Nonfuture,–,obligatory,bora1263,0,2
Brahui [brh],Brahui,brh,Northern Dravidian,Dravidian,Concatenative*,(Andronov 1980: 56ff),2,Past / Nonpast,–,obligatory,brah1256,0,2
Chamorro [cha],Chamorro,cha,Chamorro,Austronesian,Isolating/ Concatenative*,(Topping 1973: 261ff),2,Future / Nonfuture,–,obligatory,cham1312,0,2
Chinook (Wasco- Wishram) [wac],Chinook (Wasco- Wishram),wac,Chinookan,Penutian,Concatenative*,(Boas 1893: 62),2,Present / Future,n,NA,wasc1239,0,2
Chukchi [ckt],Chukchi,ckt,Northern Chukotko- Kamchatkan,Chukotko- Kamchatkan,Concatenative*,(Muravyova 1998: 531ff),2,Future / Nonfuture,–,obligatory,chuk1273,0,2
Engenni [enn],Engenni,enn,Edoid,Niger-Congo,Non-linear,(Thomas 1978: 70ff),2,Future / Nonfuture,n,optional,enge1239,0,2
